"Materia;Pregunta;Respuesta_correcta;Opcion2;Opcion3;Opcion4;Explicacion"
"Acertijo;Estás en una isla y tienes que ir al otro lado, pero en la mitad hay leones muertos de hambre ¿Por dónde irías?;Por el medio;No iria; Me muero;Imposible ir;Los leones "
"Acertijo;Mientras más me ves, menos me ves ¿Qué soy?;La oscuridad;La policia;La Corrupcion; El espejo;"
"Acertijo;Se compra para comer pero no se come ¿Qué podrá ser?;La cuchara;El pollo;El jamon;Ginger; La cuchara no es comestible"
"Acertijo;Un gallo pone un huevo en un tejado, a la derecha del tejado hay una rampa y a la izquierda una escalera ¿Para dónde se caerá el huevo?;Ninguna de las anteriores;La escalera;La rampa;No se mueve el huevo; Los gallos no ponen huevos"
"Acertijo;¿Cuál es el instrumento que no se puede ver ni tocar, pero todos lo pueden escuchar?;La Voz.;El cantante;La cigarra;la Arpa;Es un sonido que sale de nuestas cuerdas vocales no lo vemos ni tocamos."
"Acertijo;Si yo tengo una manzana y le doy un pedacito a 1 persona ¿Con qué se queda?;Con hambre; Con 1 pera; Con dinero; Ninguna de las anteriores;"
"Acertijo;¿De qué color son los huevos que pone el pato?;Ninguna de las anteriores;Verde;Blanco;Rojo;Los patos no ponen huevos"
"Acertijo;¿Qué tiene cuello pero no cabeza?;La botella; La serpiente; El humano; Un gordito; La botella no tiene cabeza."
"Acertijo;Un señor va montando un caballo, el cual se llama viernes,y sin embargo va a pie ¿Cómo se llama el gato?;Sin Embargo; Firulais; No se , no soy cientifico; Haha Saludos; El gato va a pie y se llama sin embargo."
"Acertijo;¿Qué es lo que todo el mundo sabe abrir, pero nadie sabe cerrar?;El huevo;El candado;La puerta;El corazon de el; El huevo no sabemos como volver a cerrarlo debido a que lo partimos para abrirlo."
"Acertijo ;¿Qué es lo que aún no ha sido, que debe ser, pero cuando lo sea ya no lo será; El día de mañana;La muerte;La Risa;El ayer; El mañana es el presente y asu vez cuando llega será el pasado."
"Acertijo ;  ¿Qué animal tiene en su nombre las cincovocales?;murciélago;mariposa;mono;koala;Cuente las vocales "
"Acertijo;Delfín empieza con d y termina con .... ?;t;n;a;b;En el enunciado se menciona que termina empieza con t. "
"Acertijo;Una vez un borracho dijo: ""Si ayer fuera mañana hoy sería viernes"" ¿En qué día de la semana dijo eso el borracho?; Domingo; Viernes;Lunes;Jueves;Es Domingo porque sábado es ayer, y si sábado fuera mañana hoy sería viernes."
"Acertijo;¿Cuál es una palabra de 4 letras que tiene 3 aunque se escribe con 6 mientras tiene 8 raramente consta de 9 y nunca se escribe con 5;Cual, Que, Aunque, Mientras,Raramente,Nunca;mamy;niña;casa;Porque Cual (tiene 4 letras ), Que (3 letras), Aunque (6 letras), Mientras (8 letras), Raramente (9 letras) y Nunca (5 letras)"
"Acertijo;¿Sabes qué pasa todos los días en la selva de 7 a 8 de la tarde?;una hora salvaje; hora de la cena; adorar a dioses;hora de dormir; Una hora salvaje porque la palabra lo dice Selva== Ambiente Silvestremente Salvaje"
"Acertijo;Un señor pasó por una tienda vió un reloj y lo compro ¿Qué compró el señor?;hilo; reloj; pila; relojero; hilo fue mencionado en el enunciado"
"Acertijo;Tengo tres transportes marinos: Uno es un barco, otro es un bote y el tercero ya te lo dije ¿Cuál falta?;yate;lancha;buque;canoa;yate lo mencionamos en el enunciado"
