"Materia;Pregunta;Respuesta_correcta;Opcion2;Opcion3;Opcion4;Explicacion"
"ciencias;¿Cómo llamamos a una lesión térmica o química de los tejidos?;Quemadura;Inflamación;Úlcera;Hernia;"
"ciencias;¿Con qué nombre se conoce la energía producida por las partículas en movimiento?;Energía Cinética;Energía Solar;Energía Potencial;Energía Eólica;"
"ciencias;¿Quién fue el Inventor de la dinamita?;Alfred Nobel;Heisenberg;Antony Stark;Walter White;"
"ciencias;¿Cómo se llama la arteria principal del cuerpo humano?;Aorta;Carótida;Yugular;Subclavia;"
"ciencias;¿Qué parte del cuerpo humano puede tener un soplo?;Corazón;Oído;Pulmón;Colon;"
"ciencias;¿Cuántas Leyes de Mendel hay?;3;2;4;No hay leyes de Mendel;"
"ciencias;¿Cómo se llama la enfermedad por la que una persona cree infundadamente que padece alguna enfermedad grave?;Hipocondría;Aburrimiento;Melancolía;Neurastenia;"
"ciencias;¿Qué es la levadura?;Un hongo;Una planta;Un animal;Una raíz;"
"ciencias;¿A partir de qué nivel de inteligencia se puede considerar que alguien es un genio?;140;90;100;190;"
"ciencias;¿Cómo se llama el registro gráfico de la activa eléctrica del cerebro?;Electroencefalograma;Electrocardiograma;Electrocerebrograma;Electroconductancia;"
"ciencias;¿El ciempiés gigante del Amazonas puede medir más de 30 centimetros y cuelga de las cuevas. ¿Qué mamífero volador le resulta fácil cazar ?;Murciélago;Mariposas;Lagartos;Águilas;"
"ciencias;¿Qué son los pugs?;Una raza de perro;Una tradicion regional;Una comida;Un lugar;"
"ciencias;¿En cuántos lóbulos se divide el pulmón derecho?;Tres;Cuatro;Dos;Ninguno;"
"ciencias;¿Cuál de estas fases NO es una de las fases de la división celular?;Rinofase;Profase;Metafase;Anafase;"
"ciencias;¿Quién es considerado el padre de la genética?;Gregor Mendel;Aristóteles;Hugo de Vries;Eric Von Tschermak;"
"ciencias;¿Quién fue el inventor de la bombilla?;Edison;Newton;Fahrenheit;Janssen;"
"ciencias;¿Por qué compuesto químico está formada la lavandina?;Hipoclorito de Sodio;Cloruro de Sodio;Perclorato de Aluminio;Yoduro de Cobre;"
"ciencias;¿Cuántas células de esperma fabrican los testículos de un hombre al día?;10 millones;2 millones;5 millones;36 267;"
"ciencias;¿Cómo se conoce el virus del SIDA?;VIH;VPH;ARN;HBV;"
"ciencias;¿Cuál es el músculo causante del espasmo muscular ""Torticolis""?;Esternocleidomastoideo;Occipitofrontal;Complexo Mayor;Esplenio de la cabeza;"
"ciencias;¿Cuál es el componente principal del chocolate?;Cacao;Leche;Azucar;Chocolate;"
"ciencias;¿Por qué tipo de elementos están formadas las sales binarias?;Un metal y un no metal;Oxígeno y un metal;Oxígeno e hidrogeno;Hidrógeno y un no metal;"
"ciencias;¿Qué significan las siglas ADN?;Ácido desoxirribonucleico;Antigénico de Dieteninol;Ácido Diosferoniclostico;Antigénico Disfetinoleno;"
"ciencias;¿Qué son los leucocitos?;Glóbulos blancos;Glóbulos rojos;Glóbulos azules;Glóbulos negros;"
"ciencias;¿Cómo se conoce comúnmente al compuesto químico NaCI?;Sal;Azucar;Leche;Pimienta;"
"ciencias;¿Cuántas alas tiene una pulga?;Ninguna;Una;Dos;Cuatro;"
"ciencias;¿Qué es un bit?;La unidad más pequeña de almacenamiento;La escala musical que tiene un tempo;Un remix de algún dj;Bassic interface conection;"
"ciencias;¿Qué hay que ponerle a un vidrio para convertirlo en un espejo?;Aluminio;Mercurio;Plomo;Yodo;Los espejos en realidad son cristales que contienen detrás una capa de aluminio."
"ciencias;¿Cómo se llama la técnica consistente en descender la temperatura del cuerpo humano por debajo de -190ºC?;Criogenización;Congelación;Shock;Solidificación;La criogenización es un método por el cual se somete a una persona ( o animal ) a condiciones de frío intenso con el objetivo de preservar su cuerpo en condiciones para ser reanimado en el futuro."
"ciencias;¿Qué nervio es el VII par craneal?;Nervio facial;Nervio abducens;Nervio hipogloso;Nervio glosofaríngeo;El nervio facial es un nervio craneal mixto, es decir, contiene fibras sensitivas como motoras, presente en mamíferos incluyendo humanos en el cual forma el séptimo par craneal o VII par."
"ciencias;¿Cuál de los siguientes números es mayor?;El número Pi;El número e;El número áureo;El cero;El número Pi pertenece al conjunto de números irracionales, es decir, que tiene infinitos números decimales (3,14159 26535...)."
"ciencias;¿Dónde se almacena la información genética del ser humano?;ADN;ADM;ADÑ;ARN;La función principal de la molécula de ADN es el almacenamiento a largo plazo de información para construir otros componentes de las células, como las proteínas y las moléculas de ARN."
"ciencias;¿Qué estudia el herpetólogo?;Reptiles y anfibios;Los herpes;Los gusanos;Los virus;El herpetólogo busca la conservación de las poblaciones de especies de anfibios y reptiles y de sus hábitats y está comprometido con la generación y difusión del conocimiento científico en el ámbito de la herpetología."
"ciencias;¿Cómo se llama el estado vital en que la persona actúa conforme a estímulos e intereses ajenos, creyendo que le son propios?;Alienación;Tangencialidad;Perseveración;Ilogicidad;La alienación es un proceso de trasformación de conciencia que se puede dar tanto en una personas como en una colectividad."
"ciencias;¿El déficit de qué vitamina produce raquitismo?;D;C;A;E;La deficiencia de vitamina D se caracteriza por deformidades esqueléticas causadas por un descenso de la mineralización de los huesos y cartílagos debido a niveles bajos de calcio y fósforo en la sangre."
"ciencias;¿Quién postuló la ley del principio de inercia?;Isaac Newton;Albert Einstein;Víctor Alvarado;John kennedy;principio de la inercia: Ley física por la que se determina que un cuerpo tiende a permanecer en estado de reposo o de movimiento rectilíneo uniforme, a menos que una fuerza externa actúe sobre él. También llamada primera ley de Newton."
"ciencias;¿Cuántas veces se calcula que latirá el corazón a lo largo de toda la vida de una persona?;4 000 millones;2 millones;1 500 millones;1 000 millones;"
"ciencias;¿Dónde llevan los cocodrilos a sus crías?;En la boca;En la barriga;En la cabeza;En la espalda;Las hembras son vistas a menudo con huevos en la boca, ellas no están comiéndoselos, sino agrietando sus cascarones, al hacerlo, ayudará a sus crías para que sean capaces de salir de la concha protectora."
"ciencias;¿Cómo se llama el trastorno alimentario donde la pérdida de apetito es causada por un miedo morboso a la obesidad?;Anorexia;Bulimia;Megarexia;Vigorexia;"
"ciencias;¿Para que sirve la prueba del carbono 14?;Deducir la edad de un material;Calcular los electrones de un átomo;Calcular los quilates del oro;Galvanizar un metal;La prueba carbono 14 utiliza radioactividad para determinar la edad de artefactos arqueológicos y material biológico hasta 50, 000 años atrás."
"ciencias;¿Qué hace un procastinador?;Posponer sus actividades;Se obsesiona con sexo;Presume sus logros;Es hiperactivo;"
"ciencias;¿Cuál es el único nervio que no pasa por el tálamo?;Nervio Olfativo;Nervio Vago;Nervio Óptico;Nervio Ciático;El nervio olfatorio u olfativo es el primero y más corto de los pares craneales y se origina en las células bipolares localizadas en el epitelio olfatorio que recubre la mayor parte del cornete superior y la pared opuesta al tabique en las fosas nasales."
"ciencias;¿Qué sustancia permite realizar la fotosíntesis?;Clorofila;Savia;Cloroformo;Agua;La principal función de la clorofila es la fotosíntesis es la absorción de fotones de luz con la consiguiente excitación de un electrón."
"ciencias;¿Cómo se llama la cresta que hace el labio debajo de la nariz?;Surco nasolabial;Geme;Axila;Glabella;Surco nasolabial conocido como filtrum o surco del filtrum, es una parte de la cara, en concreto la pequeña depresión entre la boca (el labio superior) y la nariz."
"ciencias;¿Qué es el ciclo de krebs?;Ciclo del ácido cítrico;Ciclo del colesterol;Producción de hormonas;No existe;El ciclo de Krebs (ciclo del ácido cítrico o ciclo de los ácidos tricarboxílicos)?? es una ruta metabólica, es decir, una sucesión de reacciones químicas, que forma parte de la respiración celular en todas las células aeróbicas."
"ciencias;¿Qué organo del cuerpo es el más dañado por el consumo excesivo de alcohol?;Hígado;Cerebro;Corazón;Estómago;Demasiado alcohol puede causar un serio daño al hígado y esto es porque el alcohol se acumula más rápido de lo que tarda el hígado en procesarlo."
"ciencias;¿Cómo se llama el movimiento que realiza la Tierra alrededor del Sol?;Translación;Rotación;Órbita;La tierra no se mueve;La traslación de la Tierra es el movimiento de este planeta alrededor del Sol, que es la estrella central del sistema solar."
"ciencias;¿Cuál es la planta más conocida que tiene propiedades cicatrizantes,limpiadoras y regeneradoras?;Áloe Vera;Alcachofa;Eneldo;Quinoa;El áloe vera se cultiva como planta decorativa, para usos medicinales, en cosmética e incluso para la alimentación en algunos países."
"ciencias;¿Cómo se llama el líquido que expulsan los recién nacidos en lugar de las heces durante los primeros días?;Meconio;Politu;Frutenio;Placenta;El meconio o mecoño es una sustancia viscosa y espesa de color verde oscuro a negro compuesta por células muertas y secreciones del estómago e hígado, que reviste el intestino del recién nacido."
"ciencias;¿De qué color es el sudor de los hipopótamos?;Rojizo;Azul;Amarillo;Verde;La realidad es que los hipopótamos no sudan sangre, pero sí secretan un líquido rosáceo que protege su piel."
"ciencias;¿Cuál es el animal que tiene la presión más alta?;Jirafa;Elefante;Conejo;Serpiente;Presión arterial extremadamente alta jirafas sería extremadamente peligrosa en seres humanos y otros animales, sin embargo, jirafas se han adaptado a ella por el proceso de selección natural."
"ciencias;¿Qué significa ARN?;Ácido Ribonucleico;Ácido Desoxirribonucleico;Ácido Rico en Nucleo;Antena Rosa y Numerada;El ácido ribonucleico (ARN o RNA) es un ácido nucleico formado por una cadena de ribonucleótidos."
"ciencias;El músculo que realiza una función contraria a otro es su...;Antagonista;Agonista;Ipsilateral;Contralateral;Músculo antagonista, son aquellos músculos que se oponen en la acción de un movimiento. Cuando el agonista se contrae, el antagonista se relaja."
"ciencias;¿Qué líquido almacenan los cactus?;Agua;Savia;Vino;Néctar;Los cactus almacenan el agua en sus tallos, abren sus pequeñas y muy pegadas hojas para que el agua entre a toda la planta, esto lo hacen únicamente durante la noche."
"ciencias;¿Cuál es el nombre del compuesto cuya formula es H2SO4?;Ácido sulfúrico;Ácido sulfuroso;Ácido sulfhídrico;Anhídrido sulfuroso;El ácido sulfúrico es un compuesto químico extremadamente corrosivo."
"ciencias;¿Qué son los triglicéridos?;Lípidos;Glucidos;Proteínas;Vitaminas;Un triglicérido es un tipo de glicerol que pertenece a la familia de los lípidos y se forma por la esterificación de los tres grupos OH de los gliceroles por diferentes o igual tipo de ácidos grasos."
